SiteCode,SiteName,Latitude,Longitude,StartDate,EndDate,SiteLocationType,SiteClassification,SiteActive,SiteGroup,SponsorName,OtherTags,Enabled,SiteDescription
CLDP0391,Clean Air for Southall and Hayes (CASH),51.50185775756836,-0.39658835530281067,2023-01-25T19:17:16.897Z,,,Urban Background,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Clean Air for Southall and Hayes (CASH) , Community Programme, Deployed, Ealing, Solar300, V2",Y,"Clean Air for Southall and Hayes (CASH) will use the data from the node as evidence of the importance of schools in Southall benefiting from Ealing Council's £240,000 investment to install air quality monitoring devices in schools. The data will also enable engagement with Ealing Council about the effectiveness of the Air Quality Strategy and Air Quality Action Plan.  In 2022 we held a webinar on air pollution, raising awareness of the data from the air quality monitors in the vicinity of the Green Quarter, formerly Southall Gasworks and we hope to do another webinar incorporating data from the node in 2023."
CLDP0392,Hackney New Primary School,51.53911209106445,-0.07736077159643173,2023-01-26T19:55:32.273Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Hackney, Solar300, The Parents’ Air Quality and Road Safety Group at Hackney New Primary School , V2",Y,"We are a group of parents of children from Hackney New Primary School who want cleaner air and safer roads, through safe active travel infrastructure and traffic reduction. We also help steward the Enfield Road Play Street. "
CLDP0394,Ellen Wilkinson Primary School,51.51641082763672,0.04541200026869774,2023-02-02T09:58:33.173Z,,School,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Beckton Community Air Quality Group, Bloomberg 25-27, Community Programme, Deployed, Newham, Solar300, V2",Y,
CLDP0438,St James Primary School,51.586578369140625,-0.14813104271888733,2023-02-21T16:16:08.907Z,,,Urban Background,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Haringey, Replacement, Solar300, The Friends of St James Primary School, V2",Y,"The node is located in the playground of St James Church of England Primary School on Woodside Avenue, a mostly residential road that also serves other local schools. The node is well placed to monitor its pollution levels as well as that of the nearby B550 Muswell Hill Road."
CLDP0439,"Aberfeldy, Poplar",51.51374435424805,-0.006984306499361992,2023-02-28T12:32:13.993Z,,School,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Knitting The Air, Replacement, Solar300, Tower Hamlets, V2",Y,
CLDP0444,Science Museum,51.4973258972168,-0.17409302294254303,2023-03-03T15:10:50.600Z,,,Roadside,1,Cultural Centres,Bloomberg Philanthropies,"Cultural Centre, Deployed, Kensington and Chelsea, Solar300, V2",Y,"This site is part of the Breathe London Cultural Network sponsored by Bloomberg Philanthropies. Other partner sites in the network include the Serpentine Gallery, Imperial War Museum and the National Gallery. In common with Breathe London’s mission to reach communities less engaged with environmental programmes and affected by poor air quality, the cultural network will share data and stories with their visitors, exploring ways to present environmental issues in the context of their own exhibits and settings."
CLDP0452,St.Luke's Hospice,51.586692810058594,-0.3021259903907776,2023-05-17T07:15:31.617Z,,,Urban Background,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Brent, Community Programme, Deployed, Hospice, Solar300, St Luke's Hospice, V2, formerly Friends of Woodcock Park",Y,The site is a lamppost just inside the exit gate to St.Lukes which is on Woodgrange Avenue. It is half way between the Kenton Road (A4006) and Woodcock Park. Because this road is blocked off a short way down there is very little traffic that actually uses this section of this road. The pollution readings will therefore be mainly from the Kenton Road and surrounding business and houses. We wish to know about the air pollution in the Park which is widely used for leisure activities by residents in the area. We have a water course running through the Park called the Wealdstone Brook and we are also measuring the pollution of the water on a regular basis (it was just appalling last year). Both the air pollution readings and the water pollution readings will give us an indication of the health of the Park and what we can do to improve this.
CLDP0454,Residents Action on Climate and Health,51.578433990478516,-0.1905989944934845,2023-07-07T12:50:01.220Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Barnet, Bloomberg 25-27, Community Programme, Deployed, Residents Action on Climate and Health, Solar300, V2, with Host ",Y,"About the group

REACH (Residents Environmental Action on Climate and Health) is a sub group of the Hampstead Garden Suburb (HGS) Residents association with a number of key stated aims including ;
•        To support Suburb residents in preparation for environmental challenges by taking initiatives that will play a part in reducing our contribution to emissions and thus to the warming of the planet 
•        Consider actions we can take to reduce local pollution and enhance biodiversity.
•        Consult and co-operate with LB Barnet, HGS Trust, City of London, Transport for London, Environment Agency, and other relevant bodies as applicable.
•        Aim is to achieve Net Zero greenhouse gas emissions from the area by 2040 and to work with residents and relevant stakeholders to achieve this ambitious target.
Node location 

One key area of concern that REACH has identified within HGS is air quality (AQ) as the Suburb is bordered and dissected by some of London’s busiest roads, including the A40, the A1, East End Road and the Finchley Road. The lack of meaningful AQ data within the suburb means we can’t take steps to identify and address the root cause (whether it is vehicles, buildings, or wood burners), educate residents and inform change in HGS and the wider area. There is, perhaps, a preconception that there is no AQ problem in the suburb because it is indeed founded on the Garden City principles of open green spaces. However. Whilst there is an obvious impact on residents and businesses that border these roads it also creates and number of “rat runs”  Meadway is one of these roads, it is also part of the H2 bus route ."
CLDP0455,Christ’s College Finchley Breathe,51.590599060058594,-0.18717169761657715,2023-06-16T14:21:28.497Z,,,Urban Background,1,Community Programme Y2,Bloomberg Philanthropies,"Barnet, Bloomberg 25-27, Christ’s College Finchley Breathe, Community Programme, Deployed, Solar300, V2",Y,
CLDP0466,Columbia Road Primary School,51.529109954833984,-0.06989599764347076,2023-05-09T16:55:45.487Z,,School,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Save Our Safer Streets (SOSS), Solar300, Tower Hamlets, V2",Y,"Save Our Safer Streets (Bethnal Green) has set up this node in collaboration with Columbia Road Primary School. We’re hoping to monitor air quality by the school to better understand the trends during the school day and over longer periods in and outside of the teaching terms. Using the data, we plan to work with Columbia Road Primary’s students to talk to our borough Council. We want to show how air quality is improved when there are safer streets with fewer cars"
CLDP0467,"St Matthew's Road, Brixton",51.45938491821289,-0.11582744121551514,2023-10-13T00:00:00.000Z,,,Urban Background,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Brixton Central, Community Programme, Deployed, In Transit, Lambeth, Replacement, Solar300, V2",Y,"The Brixton Central air quality monitor is located near to Windrush Square, at the heart of Brixton. It is also by the A23, one of the most polluted roads in Lambeth. We want to use data from the monitor to raise awareness of air quality and find ways of improving the environment for everyone."
CLDP0468,"Florence Road, Lewisham",51.473140716552734,-0.030538424849510193,2023-06-09T09:30:00.000Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Florence Road Residents' Group, Lewisham, Replacement, Solar300, V2",Y,"Florence Road Residents' Group initially developed as a WhatsApp group in 2019 and formalised as a constituted community group in 2021 as a positive response to the Covid-19 pandemic to support residents on the street.
 
Our key aims are to promote, protect and enhance the quality of life and wellbeing for all those who live along Florence Road.
 
Florence Road in New Cross is a residential street but also a busy ‘B’ road with high traffic / pollution levels. Florence Road is the only two-way cut through road in the area that connects two heavily congested A-roads. 
 
We hope the data obtained from our Breathe London node will support our work with Lewisham Council and other local authorities, resulting in more traffic-reducing measures being implemented on our road to improve our health."
CLDP0469,"Ashmead School, SE8",51.4687385559082,-0.026014868170022964,2023-06-28T09:26:32.100Z,,School,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Climate Action Lewisham, Community Programme, Deployed, Lewisham, Solar300, V2",Y,"Ashmead Primary School, Lewisham College (with pupils aged 14+), two nurseries, a health centre and residential housing are all situated along this section of the A20 Lewisham Way, a heavily congested red route.  There are also commercial restaurants and light industry close by.  We want to monitor air pollution and work with the school, college and other groups to build support for local changes to improve air quality. "
CLDP0470,Hounslow High Street,51.46819305419922,-0.3661389946937561,2023-07-14T09:14:35.790Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Hounslow, Hounslow Borough Respiratory Support Group, Solar300, V2, with Host ",Y,
CLDP0474,Offord Road Green Alliance,51.543922424316406,-0.11017294228076935,2023-06-07T14:15:15.163Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Islington, Solar300, The Offord Road Green Alliance, V2",Y,"Offord Road is a local, narrow Victorian street blighted by cut-through traffic (much of which is commercial traffic).  The street is densley populated, with many young children and older residents.  It's also a popular walking and cycling route which many pass through.  The air in Islington is toxic, with traffic fumes the leading source of dirty air. More must be done to tackle this silent killer and this includes reducing the amount of pollution from vehicles."
CLDP0475,National Gallery,51.50864028930664,-0.12798836827278137,2023-06-20T13:11:04.033Z,,,Urban Background,1,Cultural Centres,Bloomberg Philanthropies,"Cultural Centre, Deployed, Solar300, V2, Westminster",Y,
CLDP0476,Weymouth Avenue - Little Ealing Lane,51.49789810180664,-0.30845800042152405,2023-06-26T23:37:03.537Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Ealing, Ealing Transition, Solar300, V2",Y,"We are concerned about the effect that congested and polluted roads have on our air quality, our health, and our planet. We hope to use the results of the Breathe London sensor as a talking point in future Ealing Transition and Mums for Lungs events, and as a way to promote discussion in local schools and community organisations about the benefits of practical solutions like active travel. Our sensor is located in South Ealing near three of the local schools. We hope that the data from the sensor will be helpful for Ealing Council in determining its response to air quality issues in the borough, and will encourage a shift to more sustainable, less polluting modes of travel."
CLDP0477,Cricklewood Lane,51.562400817871094,-0.20069730281829834,2023-07-07T17:40:07.510Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Barnet, Bloomberg 25-27, Community Programme, Deployed, Green Our Neighbourhood, Solar300, V2",Y,"Green Our Neighbourhood is working to improve the air quality in the Childs Hill ward of Barnet. Our top priority is to protect young children from the damage to their health posed by pollution. We will deploy hedges, green walls and street trees to assist five local primary schools reduce playground pollution. Breathe London nodes help us monitor the impact of our interventions."
CLDP0531,Air on the Green,51.55155563354492,-0.08620399981737137,2023-09-06T15:16:29.307Z,,,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Islington, Newington Green Action Group - New Name: AIR ON THE GREEN, Solar300, V2",Y,"Air on the Green would like to better understand the significance of charcoal burning and other unfiltered particulate emissions from restaurants on air quality and health. The concern is that high levels of particulates in unfiltered restaurant pollution might be putting residents at risk of a range of health impacts, including respiratory and cardiovascular risks. 
 
Legislation passed in 2021 now makes it illegal to emit visible smoke from a chimney. However currently the local council does not act on complaints.
The installation of an air monitoring node in an enclave of student housing, flats and houses protected from road pollution but vulnerable to pollution from charcoal burning in restaurants to both north and south (depending on the direction of the wind) is an interesting opportunity to assess the impact of restaurants on local air quality. 
The node will enable us to gather and disseminate crucial data, which we hope will raise awareness of any effect on public health of charcoal burning, and of the potential to improve air quality by means of filtration. 
If the impact of charcoal burning in restaurants is found to be a significant concern, we hope to use this data to set a precedent for communities across the country affected by the same issue so that we can more effectively campaign to our councils. It is also our hope that a case can be made for a scrappage scheme for extraction ducts that could result in a significant improvement in urban air quality. Such a scrappage scheme would help defuse the tensions that inevitably arise when one group asks another group to spend money on improvements.
"
CLDP0533,Willesden High Street,51.54720687866211,-0.22905905544757843,2023-09-14T11:01:50.480Z,,,Roadside,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Brent, Community Programme, Deployed, Solar300, V2, Willesden Green Town Team",Y,"Willesden High Street (A407), one of the longest on London, is an important arterial road that connects Willesden Green to the North Circular Road and runs parallel to the railway tracks from Willesden Green underground station to Dollis Hill and beyond. The high street which also stretches to Duddenhill Lane is dotted with light indistrial businesses. Willesden Bus Garage and construction of new residential developments, all of which add to and trap pollution at street level. Pedestrians, local business, residents and school children all share these busy streets with buses, cars, motorbikes and heavy good vehicles, breathing in the small particulates and other emissions. The Breathe London node is an important tool in helping us to tackle what we believe is the serious but often forgotten threat of air pollution."
CLDP0539,Whitfield Nursery Playground,51.52130126953125,-0.1357100009918213,2023-11-12T20:13:28.447Z,,School,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Camden, Community Programme, Deployed, Fitzrovia Trust, V2",Y,"Fitzrovia Trust is a registered charity. Our air pollution monitor is based in a local nursery playground.  We want to understand the current levels of air pollution in Fitzrovia and work with local clinicians and scientists to help objectively examine the impact this is having on users of the nursery, which we let out, and local residents. This will inform a debate about what action can be taken to improve air quality in Fitzrovia."
CLDP0541,"Falcon Building, Bloomsbury",51.520015716552734,-0.1206287071108818,2024-02-13T09:23:39.000Z,,,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Camden, Community Programme, Deployed, Falcon Residents' Association and Bloomsbury Air, Mains300, V2",Y,"Our community is in the invisible grip of air pollution. Every breath we take which carries life also bears a toxic burden of air pollution. By monitoring the air we all share, we can illuminate this burden on our community and provide ourselves with the opportunity to mitigate vulnerable residents' exposure to the carcinogenic particles and gases that permeate our air. Improving the air for those who breathe it every hour of every day will also enhance it for those who work and visit our vibrant part of London.

With the Breathe London Node, the Falcon Residents Association and Bloomsbury Air will have access to accurate and regular data on air quality. We hope to use this to:

Raise knowledge and awareness about air pollution specifically in South Camden, encompassing the Holborn and Bloomsbury areas.

Provide residents with access to real-time local monitoring data. This localized data will be more engaging and relevant to the community compared to the broader LAQN (London Air Quality Network) data, which many are disconnected from.

Share the air quality information with the wider Tybalds estate community, including community groups (five in total), local schools (four), churches, mosques, and other relevant local organizations. It is also crucial to involve and engage local businesses in these efforts.

Lobby both local and central government authorities to take stronger action in tackling air pollution, advocating for more effective policies and initiatives.

Promote the necessity for reducing the number of car trips and encouraging active travel among those who are capable of adopting alternative transportation modes. This message will be particularly emphasized with local businesses and institutions, some of which still maintain their own car parks that are frequently utilized.

Work with Bloomsbury institutions to spead the word, including the British Medical Association, University College London, Royal National Institute for the Blind, Wellcome Trust, Great Ormand Street Hospital, Corams Field and Foundation, and the Royal College of Anaesthetists (100 yards away).

Our ultimate goal is to witness a significant reduction in traffic volume within the area, as well as in Central London as a whole."
CLDP0542,"Church Grove, Ladywell",51.45756912231445,-0.017399579286575317,2024-04-27T09:00:00.000Z,,,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Funded to 2025 year end, Lewisham, Rural Urban Synthesis Society, Solar300, V2",Y,"The Rural Urban Synthesis Society (RUSS) is a community land trust based in south London. Founded in 2009, and now with over 1100 members, we aim to create sustainable community-led neighbourhoods and truly affordable homes right across the city. In early 2024, we completed work on a mixed-tenure, mixed-income development of 36 residential dwellings at Church Grove in Lewisham, that will be permanently affordable and have been partly self-built by a team of dedicated volunteers. The project establishes a precedent in environmentally just, community-led housing provision, and includes a range of design features that reduce the residents’ dependence on fossil fuels and facilitates biodiversity within the shared garden space.
 
We have placed the Breathe London Node on the exterior of our Church Grove building to measure the impact of the trees and plants we are planting on background levels of air pollution, and to help us and our neighbours take steps to reduce the impact and production of pollution."
CLDP0551,Branch Road,51.512149810791016,-0.03888000175356865,2023-11-02T12:35:01.323Z,,,Roadside,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Friends of Limehouse, Solar300, Tower Hamlets, V2",Y,"The Friends of Limehouse are taking a systematic approach towards improving our natural environment, which includes reducing air pollution. 

Air pollution levels in Limehouse are amongst the highest in London and are the highest in LB Tower Hamlets by 30%.  The levels are recorded by an LBTH sensor (No35) located to the west of the Limehouse Link and Rotherhithe tunnel portals, and to the junction of Branch Road with Commercial Road, where excessive traffic congestion is common. 

The new Breathe London sensor is located in Branch Road on the east side of the pollution source where levels are likely to be higher than at the existing sensor due the prevailing westerly wind.

We have provided proposals to the authorities on how traffic congestion and hence pollution might be reduced at its source; and have obtained proposals by specialist consultants for a Green Infrastructure Masterplan, including air pollution reduction at its source and beyond.  The GI Masterplan would provide many other benefits such as active travel, community cohesion and enhanced biodiversity.

The additional sensor now located on Branch Road will be invaluable in providing further evidence for the approval of the measures necessary to reduce air pollution and to monitor subsequent improvements.
"
CLDP0552,Northwood Air Quality - Green Lane,51.61138916015625,-0.42249956727027893,2024-06-06T09:32:02.000Z,,,Roadside,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Hillingdon, Northwood Air Quality, Solar300, V2",Y,"We want to collect consistent and reliable data that will enable us to see the effectiveness of the ULEZ extension in Northwood and engage with schools to disseminate results and raise awareness for children exposure to air pollution and how cleaner vehicles can (and will) improve air quality along the routes they travel through everyday. It will help parents to make different choices in terms of vehicles they use and routes they travel through daily. It will help the community to better understand how traffic emissions contribute to local ambient air quality and what behaviours, measures and actions that can be taken to reduce emissions and protect public health."
CLDP0553,R-Urban Poplar & Leaders in Community,51.51743698120117,-0.010071000084280968,2023-12-15T14:00:58.783Z,,,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, R-Urban Poplar and Leaders in Community, Solar300, Tower Hamlets, V2",Y,"A partnership between R-Urban Poplar, an eco-civic hub based on the edge of the Teviot Estate in Poplar, and Leaders in Community, a youth leadership focused charity who also run the local community centre, the Teviot Centre. Between us, we run a number of programme engaging with local residents and addressing topics around climate change, resilience and just food systems. R-Urban is run by public works, a critical design practice which operates horizontally. Leaders in Community are a charity run with a small, specialist team. Both of our groups are representative of the wonderful mix of demographics, backgrounds and walks of life who call Poplar home, with meaningful connections deep into local communities. We already work closely together, and would look forward to continuing this collaboration through the delivery, monitoring and communication of data from a Breathe London node."
CLDP0554,Elthorne Park & Leighton Roads Residents Association,51.50586700439453,-0.32121196389198303,2023-11-20T16:06:51.173Z,,,Roadside,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Ealing, Elthorne Park &amp; Leighton Roads Residents Association, Solar300, V2",Y,
CLDP0557,Mary Immaculate and St. Peter's Church,51.64822769165039,-0.1757500022649765,2023-11-17T23:10:01.210Z,,,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Barnet, Bloomberg 25-27, Chipping Barnet Food Bank, Church, Community Programme, Deployed, Solar300, V2",Y,"Several factors have come together to highlight the importance of understanding the quality of the air we breath in and around Chipping Barnet Foodbank. Firstly, we are a service that supports vulnerable people in our community. Many of our clients have adverse medical conditions and experience poverty. When these factors are combined with poor air quality, we know that this can make for significantly worse health outcomes. Secondly, we are based near one of the larger construction sites in the London Borough of Barnet called The Victoria Quarter. In fact, we used to be based on this site and we now reside a couple of hundred metres up the road. It is estimated that 19% of air pollution in Barnet is caused by construction sites. A third factor is the introduction of the Ultra Low Emission Zone (ULEZ). Barnet has been deeply emersed in the debate about ULEZ and passions run high in the suburb. Considering these factors, we are delighted to have a node which is based just outside the entrance to our hall, and which will accurately capture the life of the foodbank from client footfall to delivery traffic to our small carpark. We plan to use the node as an educational platform for the food bank, the parish, and the local community with a view to monitoring and campaigning for good air quality inside as well as outside"
CLDP0558,Connaught Village,51.51435089111328,-0.16701999306678772,2023-11-20T23:02:36.537Z,,,Roadside,1,Community Programme Y2,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Ex -Gospel Oak Primary School, Ex GLA, HyPER (Hyde Park Estate Residents), Replacement, Solar300, V2, Westminster",Y,Looking at the impact of air pollution on visitors to Connaught Village. The village has significant through traffic: how much does this reduce the quality of the air that visitors to the shops and cafes breathe?
CLDP0559,Surrey Docks Farm,51.49943923950195,-0.0333000011742115,2023-11-24T10:25:00.197Z,,,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Solar300, Southwark, Surrey Docks Farm, V2",Y,The group are excited to be part of the project to deepen their understanding about pollution and the quality of our environment and learn what impact the green space we help care for makes on the data!
CLDP0561,Wandsworth High Street,51.45709228515625,-0.19799399375915527,2024-01-19T14:00:00.000Z,,,Roadside,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Replacement, Solar300, V2, Wandsworth, Wandsworth Community Roads",Y,"The children most affected by local air pollution are Black, Asian minority ethnic and many come from low income families who live, walk, shop, work, learn and play on/near our busy community roads.  

We believe real-time hotspot air pollution monitoring data will help change behaviour and ultimately save lives. 

We're delighted to get involved and provide real-time hotspot air pollution monitoring data to those most at risk on community main roads, to enable them to make informed decisions that could lower their air pollution exposure, reduce their risk of heart disease, cancer and respiratory illness, and reduce their children's risk of asthma and stunted lung growth. This will improve quality of life and life expectancy. 

We hope this programme helps to ensure everyone has access to real-time information for their community main road, where on a day-to-day basis we have our highest air pollution exposure."
CLDP0564,Green Westbourne,51.521392822265625,-0.18903400003910065,2024-01-19T14:05:38.277Z,,School,Urban Background,1,Community Programme Y3,Bloomberg Philanthropies,"Bloomberg 25-27, Community Programme, Deployed, Green Westbourne, Solar300, V2, Westminster",Y,"Westbourne Forum / Green Westbourne
Green Westbourne aims to make life better for people living in Westbourne by making the area greener, healthier and better for nature and by improving access to the green economy and green jobs. It brings together a partnership of local groups and organisations including youth clubs, primary and secondary schools and afterschool clubs as well and local families. 

It sits within Westbourne Forum. Since 2005, Westbourne Neighbourhood Forum has been at the heart of the local community, and has endeavoured to be both its voice and a source of strength for residents as well as local organisations and charities.
Westbourne Forum and the Green Westbourne Committee meet four times a year."
